id,province,district_code,district,year,population,rate,rate_growth,rate_mechanical,density,born,birth_rate,born_3,born_per_3,prenatal_screening,newborn_screening,m_to_f
1,01,1,Ba Đình,2014,243.202,-3.9,13.31,1.18,26.335,4.245,17.45,38,0.9,80.0,50.0,114.9
2,01,2,Hoàn Kiếm,2014,202.725,-0.9,12.46,0.11,29.811,3.281,16.18,54,1.65,75.0,60.0,115.0
3,01,3,Hai Bà Trưng,2014,314.217,-0.4,12.22,-0.19,6.522,4.080,12.98,8,0.2,76.5,63.5,
4,01,4,Đống Đa,2014,404.887,2.2,13.66,0.27,4.557,6.709,16.57,32,0.48,75.0,50.0,108.5
5,01,5,Thanh Xuân,2014,268.563,0.0,11.8,02.03,21.305,3.645,13.57,40,1.1,68.4,38.0,107.9
6,01,6,Tây Hồ,2014,154.782,6.6,11.35,0.68,40.934,2.457,15.87,25,01.02,78.3,61.5,111.8
7,01,7,Cầu Giấy,2014,254.600,40.4,08.07,03.03,30.951,3.799,14.92,51,1.34,75.2,61.3,109.9
8,01,8,Hoàng Mai,2014,366.015,0.9,12.33,0.90,9.003,5.692,15.55,105,1.84,76.8,50.0,108.0
9,01,9,Long Biên,2014,272.187,0.8,10.5,-0.65,29.835,4.682,17.2,153,3.27,70.1,50.0,108.0
10,01,10,Nam Từ Liêm,2014,215.247,7.5,17.97,2.19,1.054,3.443,16,121,3.51,70.0,45.0,117.3
11,01,11,Bắc Từ Liêm,2014,316.267,5.5,15.43,0.96,2.082,4.126,13.05,157,3.81,75.0,45.0,112.9
12,01,12,Sóc Sơn,2014,321.458,1.2,12.83,-0.30,2.247,6.792,21.13,696,10.25,68.1,41.3,115.7
13,01,13,Đông Anh,2014,377.670,0.0,13.93,-0.52,6.716,7.246,19.19,665,9.18,70.3,40.5,113.1
14,01,14,Gia Lâm,2014,256.529,1.8,15.35,0.07,3.682,4.226,16.47,310,7.34,62.4,41.8,119.2
15,01,15,Thanh Trì,2014,226.738,13.8,10.65,0.46,7.343,3.595,15.86,252,07.01,70.7,40.0,112.1
16,01,16,Hà Đông,2014,288.600,9.8,17.05,-0.24,1.507,3.688,12.78,279,7.57,75.1,42.9,117.8
17,01,17,Sơn Tây,2014,137.689,0.5,12.56,0.54,6.055,2.009,14.59,211,10.5,96.8,9.1,126.0
18,01,18,Ba Vì,2014,272.457,-1.6,11.39,-0.64,1.223,4.893,17.96,580,11.85,73.0,28.5,125.2
19,01,19,Phúc Thọ,2014,178.716,0.6,13.51,-0.22,640,2.976,16.65,423,14.21,55.0,38.0,117.3
20,01,20,Đan Phượng,2014,160.707,1.8,11.46,-0.32,1.497,2.950,18.36,374,12.68,73.5,62.8,117.8
21,01,21,Thạch Thất,2014,198.600,0.5,14.73,0.84,2.003,3.346,16.85,478,14.29,50.3,35.0,111.3
22,01,22,Hoài Đức,2014,214.528,3.8,14.26,0.48,2.617,3.958,18.45,628,15.87,41.4,19.4,122.8
23,01,23,Quốc Oai,2014,179.779,-0.9,15.58,0.17,1.199,3.218,17.9,477,14.82,75.0,30.0,104.1
24,01,24,Chương Mỹ,2014,312.641,-1.5,11.96,-0.14,1.070,5.700,18.23,590,10.35,52.2,30.0,117.8
25,01,25,Thanh Oai,2014,192.800,6.2,12.53,-0.02,1.358,3.300,17.12,322,9.76,63.0,40.2,114.6
26,01,26,Thường Tín,2014,238.155,1.4,12.97,0.05,1.519,4.027,16.91,435,10.8,64.6,82.8,111.8
27,01,27,Ứng Hòa,2014,193.176,1.0,12.14,0.33,1.881,3.159,16.35,395,12.5,58.0,69.5,111.7
28,01,28,Phú Xuyên,2014,198.078,-2.8,13.38,0.40,1.101,3.537,17.86,420,11.87,67.0,42.1,127.6
29,01,29,Mỹ Đức,2014,185.420,-3.4,9.44,-1.02,1.056,3.073,16.57,378,12.3,60.9,35.0,118.6
30,01,30,Mê Linh,2014,212.273,2.0,15.19,0.19,825,4.137,19.49,375,09.06,76.4,42.3,125.3
